start_time,datetime,exchange_whale_ratio
1744005600000,2025-04-07 06:00:00,0.93879142
1744009200000,2025-04-07 07:00:00,0.96286327
1744012800000,2025-04-07 08:00:00,0.54528702
1744016400000,2025-04-07 09:00:00,0.99647429
1744020000000,2025-04-07 10:00:00,0.99961059
1744023600000,2025-04-07 11:00:00,0.88980037
1744027200000,2025-04-07 12:00:00,0.98919893
1744030800000,2025-04-07 13:00:00,0.94942258
1744034400000,2025-04-07 14:00:00,0.99194097
1744038000000,2025-04-07 15:00:00,0.87086225
1744041600000,2025-04-07 16:00:00,0.99884014
1744045200000,2025-04-07 17:00:00,0.92710987
1744048800000,2025-04-07 18:00:00,0.94033447
1744052400000,2025-04-07 19:00:00,0.9980942
1744056000000,2025-04-07 20:00:00,0.85985695
1744059600000,2025-04-07 21:00:00,0.99091425
1744063200000,2025-04-07 22:00:00,0.99970314
1744066800000,2025-04-07 23:00:00,0.99976983
1744070400000,2025-04-08 00:00:00,0.99930573
1744074000000,2025-04-08 01:00:00,0.99974789
1744077600000,2025-04-08 02:00:00,0.9951282
1744081200000,2025-04-08 03:00:00,1.0
1744084800000,2025-04-08 04:00:00,0.99955759
1744088400000,2025-04-08 05:00:00,0.94499369
1744092000000,2025-04-08 06:00:00,0.94833356
1744095600000,2025-04-08 07:00:00,0.99784723
1744099200000,2025-04-08 08:00:00,0.86802035
1744102800000,2025-04-08 09:00:00,0.99904721
1744106400000,2025-04-08 10:00:00,0.98074824
1744110000000,2025-04-08 11:00:00,0.99994565
1744113600000,2025-04-08 12:00:00,0.99943833
1744117200000,2025-04-08 13:00:00,0.8154276
1744120800000,2025-04-08 14:00:00,0.99799208
1744124400000,2025-04-08 15:00:00,0.99612607
1744128000000,2025-04-08 16:00:00,0.97004199
1744131600000,2025-04-08 17:00:00,0.99759234
1744135200000,2025-04-08 18:00:00,0.99337334
1744138800000,2025-04-08 19:00:00,0.99958396
1744142400000,2025-04-08 20:00:00,0.96758161
1744146000000,2025-04-08 21:00:00,0.99904051
1744149600000,2025-04-08 22:00:00,0.99704415
1744153200000,2025-04-08 23:00:00,0.9613279
1744156800000,2025-04-09 00:00:00,0.99999453
1744160400000,2025-04-09 01:00:00,0.99949958
1744164000000,2025-04-09 02:00:00,1.0
1744167600000,2025-04-09 03:00:00,0.99746979
1744171200000,2025-04-09 04:00:00,0.89555741
1744174800000,2025-04-09 05:00:00,0.99634043
1744178400000,2025-04-09 06:00:00,0.99978059
1744182000000,2025-04-09 07:00:00,0.98551906
1744185600000,2025-04-09 08:00:00,0.98667815
1744189200000,2025-04-09 09:00:00,0.99762518
1744192800000,2025-04-09 10:00:00,0.9990414
1744196400000,2025-04-09 11:00:00,0.97289487
1744200000000,2025-04-09 12:00:00,0.9615653
1744203600000,2025-04-09 13:00:00,0.98906711
1744207200000,2025-04-09 14:00:00,0.93503211
1744210800000,2025-04-09 15:00:00,0.99939152
1744214400000,2025-04-09 16:00:00,0.99854788
1744218000000,2025-04-09 17:00:00,0.95238832
1744221600000,2025-04-09 18:00:00,0.98681144
1744225200000,2025-04-09 19:00:00,0.99857754
1744228800000,2025-04-09 20:00:00,0.87664872
1744232400000,2025-04-09 21:00:00,0.9978573
1744236000000,2025-04-09 22:00:00,0.9981452
1744239600000,2025-04-09 23:00:00,0.99948351
1744243200000,2025-04-10 00:00:00,0.9935426
1744246800000,2025-04-10 01:00:00,0.99967744
1744250400000,2025-04-10 02:00:00,0.97811553
1744254000000,2025-04-10 03:00:00,0.98344182
1744257600000,2025-04-10 04:00:00,0.96785593
1744261200000,2025-04-10 05:00:00,0.99958048
1744264800000,2025-04-10 06:00:00,0.97892956
1744268400000,2025-04-10 07:00:00,0.98460096
1744272000000,2025-04-10 08:00:00,0.97785216
1744275600000,2025-04-10 09:00:00,0.99851911
1744279200000,2025-04-10 10:00:00,0.9674506
1744282800000,2025-04-10 11:00:00,0.85149201
1744286400000,2025-04-10 12:00:00,0.93810744
1744290000000,2025-04-10 13:00:00,0.99449489
1744293600000,2025-04-10 14:00:00,0.97105501
1744297200000,2025-04-10 15:00:00,0.99984672
1744300800000,2025-04-10 16:00:00,0.9956961
1744304400000,2025-04-10 17:00:00,0.99951677
1744308000000,2025-04-10 18:00:00,0.98848245
1744311600000,2025-04-10 19:00:00,1.0
1744315200000,2025-04-10 20:00:00,0.99761081
1744318800000,2025-04-10 21:00:00,0.99979128
1744322400000,2025-04-10 22:00:00,0.99987171
1744326000000,2025-04-10 23:00:00,0.99881768
1744329600000,2025-04-11 00:00:00,0.99893135
1744333200000,2025-04-11 01:00:00,0.91382993
1744336800000,2025-04-11 02:00:00,0.99960924
1744340400000,2025-04-11 03:00:00,0.99993143
1744344000000,2025-04-11 04:00:00,0.99967219
1744347600000,2025-04-11 05:00:00,0.99919752
1744351200000,2025-04-11 06:00:00,0.98520804
1744354800000,2025-04-11 07:00:00,0.99963435
1744358400000,2025-04-11 08:00:00,0.94627354
