start_time,datetime,flow_mean,flow_total,transactions_count_flow
1650153600000,2022-04-17 00:00:00,0.0,0.0,0
1650157200000,2022-04-17 01:00:00,0.00200114,0.00200114,1
1650160800000,2022-04-17 02:00:00,0.0,0.0,0
1650164400000,2022-04-17 03:00:00,0.0,0.0,0
1650168000000,2022-04-17 04:00:00,0.21491262,1.28947575,6
1650171600000,2022-04-17 05:00:00,0.0,0.0,0
1650175200000,2022-04-17 06:00:00,0.0,0.0,0
1650178800000,2022-04-17 07:00:00,0.0,0.0,0
1650182400000,2022-04-17 08:00:00,0.00049011,0.00049011,1
1650186000000,2022-04-17 09:00:00,0.0,0.0,0
1650189600000,2022-04-17 10:00:00,0.0,0.0,0
1650193200000,2022-04-17 11:00:00,0.0,0.0,0
1650196800000,2022-04-17 12:00:00,0.0,0.0,0
1650200400000,2022-04-17 13:00:00,0.0,0.0,0
1650204000000,2022-04-17 14:00:00,0.0,0.0,0
1650207600000,2022-04-17 15:00:00,0.0,0.0,0
1650211200000,2022-04-17 16:00:00,0.0,0.0,0
1650214800000,2022-04-17 17:00:00,0.0,0.0,0
1650218400000,2022-04-17 18:00:00,0.0,0.0,0
1650222000000,2022-04-17 19:00:00,0.0,0.0,0
1650225600000,2022-04-17 20:00:00,0.0,0.0,0
1650229200000,2022-04-17 21:00:00,0.0,0.0,0
1650232800000,2022-04-17 22:00:00,0.0,0.0,0
1650236400000,2022-04-17 23:00:00,0.0,0.0,0
1650240000000,2022-04-18 00:00:00,0.0,0.0,0
1650243600000,2022-04-18 01:00:00,0.00136506,0.00136506,1
1650247200000,2022-04-18 02:00:00,0.0,0.0,0
1650250800000,2022-04-18 03:00:00,0.0,0.0,0
1650254400000,2022-04-18 04:00:00,0.13310726,1.1979653,9
1650258000000,2022-04-18 05:00:00,0.0,0.0,0
1650261600000,2022-04-18 06:00:00,0.0,0.0,0
1650265200000,2022-04-18 07:00:00,0.00030126,0.00060253,2
1650268800000,2022-04-18 08:00:00,0.0,0.0,0
1650272400000,2022-04-18 09:00:00,0.0,0.0,0
1650276000000,2022-04-18 10:00:00,0.0,0.0,0
1650279600000,2022-04-18 11:00:00,0.0,0.0,0
1650283200000,2022-04-18 12:00:00,0.0,0.0,0
1650286800000,2022-04-18 13:00:00,0.0,0.0,0
1650290400000,2022-04-18 14:00:00,0.0,0.0,0
1650294000000,2022-04-18 15:00:00,0.0,0.0,0
1650297600000,2022-04-18 16:00:00,0.0,0.0,0
1650301200000,2022-04-18 17:00:00,0.0,0.0,0
1650304800000,2022-04-18 18:00:00,0.0,0.0,0
1650308400000,2022-04-18 19:00:00,0.0,0.0,0
1650312000000,2022-04-18 20:00:00,0.0,0.0,0
1650315600000,2022-04-18 21:00:00,0.0,0.0,0
1650319200000,2022-04-18 22:00:00,0.0,0.0,0
1650322800000,2022-04-18 23:00:00,0.0,0.0,0
1650326400000,2022-04-19 00:00:00,0.0,0.0,0
1650330000000,2022-04-19 01:00:00,0.0,0.0,0
1650333600000,2022-04-19 02:00:00,0.15281996,1.22255966,8
1650337200000,2022-04-19 03:00:00,0.0,0.0,0
1650340800000,2022-04-19 04:00:00,0.0,0.0,0
1650344400000,2022-04-19 05:00:00,0.01014691,0.01014691,1
1650348000000,2022-04-19 06:00:00,0.0,0.0,0
1650351600000,2022-04-19 07:00:00,0.00157639,0.00157639,1
1650355200000,2022-04-19 08:00:00,0.0,0.0,0
1650358800000,2022-04-19 09:00:00,0.0,0.0,0
1650362400000,2022-04-19 10:00:00,0.0,0.0,0
1650366000000,2022-04-19 11:00:00,0.0,0.0,0
1650369600000,2022-04-19 12:00:00,0.0,0.0,0
1650373200000,2022-04-19 13:00:00,0.00244398,0.00244398,1
1650376800000,2022-04-19 14:00:00,0.0,0.0,0
1650380400000,2022-04-19 15:00:00,0.0,0.0,0
1650384000000,2022-04-19 16:00:00,0.0,0.0,0
1650387600000,2022-04-19 17:00:00,0.0,0.0,0
1650391200000,2022-04-19 18:00:00,0.0,0.0,0
1650394800000,2022-04-19 19:00:00,0.0,0.0,0
1650398400000,2022-04-19 20:00:00,0.0,0.0,0
1650402000000,2022-04-19 21:00:00,0.0,0.0,0
1650405600000,2022-04-19 22:00:00,0.00333108,0.00333108,1
1650409200000,2022-04-19 23:00:00,0.0,0.0,0
1650412800000,2022-04-20 00:00:00,0.0,0.0,0
1650416400000,2022-04-20 01:00:00,0.0,0.0,0
1650420000000,2022-04-20 02:00:00,0.18879689,1.13278132,6
1650423600000,2022-04-20 03:00:00,0.0,0.0,0
1650427200000,2022-04-20 04:00:00,0.0,0.0,0
1650430800000,2022-04-20 05:00:00,0.0,0.0,0
1650434400000,2022-04-20 06:00:00,0.0,0.0,0
1650438000000,2022-04-20 07:00:00,0.00033292,0.00033292,1
1650441600000,2022-04-20 08:00:00,0.0,0.0,0
1650445200000,2022-04-20 09:00:00,0.0003251,0.0003251,1
1650448800000,2022-04-20 10:00:00,0.0,0.0,0
1650452400000,2022-04-20 11:00:00,0.0,0.0,0
