start_time,close,date,high,low,open,volume
1555113600000,5101.39832729,2019-04-13,5154.72091617,5009.35620335,5085.50674103,29728.09826007292
1555200000000,5186.60137711,2019-04-14,5202.33547022,5006.54712475,5050.83511715,29810.43320290751
1555286400000,5039.63063088,2019-04-15,5213.98799176,4963.55808886,5157.9343888,54649.1066002682
1555372800000,5197.12290631,2019-04-16,5247.09593186,5012.45443757,5041.36351138,47550.20415280802
1555459200000,5210.02715272,2019-04-17,5292.4211689,5166.64024422,5214.96365423,44391.56318050381
1555545600000,5272.3356731,2019-04-18,5334.39527352,5209.50448464,5218.40577989,44290.39339463956
1555632000000,5289.09693677,2019-04-19,5358.36449631,5193.11318778,5311.29902681,41885.20482761988
1555718400000,5296.62692792,2019-04-20,5392.77523196,5243.87925091,5280.01387891,33647.94158413506
1555804800000,5315.97445003,2019-04-21,5365.58593958,5202.86482864,5299.79155515,40948.17581522384
1555891200000,5370.41540243,2019-04-22,5439.7885904,5221.62859325,5282.58560663,60565.94317127738
1555977600000,5534.39220371,2019-04-23,5640.08636064,5349.17111157,5380.08463815,87908.1406992919
1556064000000,5446.98229943,2019-04-24,5665.21380168,5354.43408133,5532.15628939,89920.18955825265
1556150400000,5180.20285851,2019-04-25,5541.21674487,4401.67836042,5424.08370409,102719.91843108958
1556236800000,5266.27540072,2019-04-26,5450.19118722,5072.42549076,5131.94028713,95919.2961914086
1556323200000,5389.37723406,2019-04-27,5436.02566262,5122.50615508,5253.21166587,27726.43199232398
1556409600000,5356.52287941,2019-04-28,5519.75045184,5126.23160252,5355.05908722,30168.11493263504
1556496000000,5370.39314999,2019-04-29,5502.66095427,5114.16589452,5273.3265581,40106.887133664495
1556582400000,5301.00552476,2019-04-30,5578.46209774,5130.93834772,5266.57120066,42696.88977748069
1556668800000,5348.67602191,2019-05-01,5619.36631227,5270.93377349,5369.34066538,34153.33487701044
1556755200000,5549.69651854,2019-05-02,5756.04178455,5307.03335816,5328.26436002,45793.110922894
1556841600000,5777.27811042,2019-05-03,6098.87292027,5375.28520143,5469.3912173,98218.82580457348
1556928000000,5937.37496389,2019-05-04,6124.49921714,5539.87875272,5668.01516401,70092.17185864606
1557014400000,6008.56364046,2019-05-05,6093.17171841,5670.59023031,5814.68176923,39284.30826086875
1557100800000,5965.21876695,2019-05-06,6063.3143842,5592.25874366,6012.70237129,46716.138674900976
1557187200000,5888.94006101,2019-05-07,6269.38004258,5702.85345546,5848.77715419,79492.81792843148
1557273600000,6054.03421295,2019-05-08,6166.40219162,5767.81829047,5956.02061135,50983.54493375581
